UUID,mainThumbURL,imageLicense,dataSource,wikidataQID
dad9f15c-9151-522b-a4e6-894b5020c161,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F4982f9dc62d32d8daf7886cbe4c3407e,,proxy-csv,
846126ec-04a0-539e-9c96-3769439fdaab,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Arles_kirche_st_trophime_fassade.jpg/330px-Arles_kirche_st_trophime_fassade.jpg,,wikipedia-fr,
09cbeefd-bb95-5b53-8d2f-6c976cb813e9,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Map_of_Sudan_%28New%29.jpg/330px-Map_of_Sudan_%28New%29.jpg,,wikipedia-es,
d1c7684d-010b-5376-8c86-0b2f3223e2f6,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F2e1984d530479d98e0c0ed4d8adbca81,,proxy-csv,
158fe075-1409-58b7-aa71-8a921497de7a,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F817d1f0ef1bceaabbe6c3ee244ee38b5,,proxy-csv,
1448e834-90c7-53cd-ac5d-7ee7ffe206d9,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Jebel_Faya_%282025%29.webp/330px-Jebel_Faya_%282025%29.webp.png,,wikipedia-de,
1198b295-5d04-5712-97d6-8b131ed24512,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F4ab807e98dce282ae476da93158ec6b3,,proxy-csv,
54ee4d31-3b17-57b6-8694-b89fc4e997a7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/1747_La_Feuille_Map_of_Scotland_-_Geographicus_-_Ecosse-ratelband-1747.jpg/330px-1747_La_Feuille_Map_of_Scotland_-_Geographicus_-_Ecosse-ratelband-1747.jpg,,wikipedia-de,
da1044b6-7a8c-5b2c-afcc-e309b9328957,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Chaco_Canyon_Chetro_Ketl_great_kiva_plaza_NPS.jpg/330px-Chaco_Canyon_Chetro_Ketl_great_kiva_plaza_NPS.jpg,,wikipedia-en,
6b11e1fb-6a48-5811-b45b-8a0fe1906601,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Albanian_Tourism.svg/langfr-330px-Albanian_Tourism.svg.png,,wikipedia-fr,
08b27b00-8f72-5eea-95e0-39f0480ea4c5,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F459c889c8bc89cacac62a68d58597c56,,proxy-csv,
bc1ae98a-0af0-57c3-9122-d27a5057d931,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F02a6f6afe8d25cf95af5abffd68e4dc7,,proxy-csv,
30d549d3-260b-556c-94ee-34d66953f7fd,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2F705c154cb084d7c7c968706dd54eea5b,,proxy-csv,
ce8796b7-cc2a-53ac-9aec-b32a344f7200,https://images.weserv.nl/?w=300&h=300&fit=cover&url=https%3A%2F%2Fdata.unesco.org%2Fapi%2Fexplore%2Fv2.1%2Fcatalog%2Fdatasets%2Fwhc001%2Ffiles%2Fb6ce1faba2f8399a03c5d4ab107478ba,,proxy-csv,
